FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,year,week,Timeline
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,202,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,110,0,250,0,0,0,0,0,0,0,Man City,,,,,2016,37,Y16W37
Charlie,Adam,MID,STK,4600000,0,59,0.531531531531532,1.15550332941637e-07,1.2826086956521699e-05,0,54573,7,23,0,0,0,1,0,12.8,0,-4,0,59,4,0,0,0,5,0,6,0,4,0.3,60731,0,109,0,1,1491,0,0,0,218,Southampton,,,,,2016,37,Y16W37
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10306,0,2,0,0,0,0,0,0.6,0,-1,0,3,1,0,0,0,0,0,0,0,0,0.0,883,0,0,0,0,122,0,0,0,6,Liverpool,,,,,2016,37,Y16W37
,Adrian,GLK,WHU,4600000,2,64,0.576576576576577,1.25342734038386e-07,1.39130434782609e-05,0,111420,1,25,0,53,0,0,0,13.9,0,-4,0,64,4,0,0,0,6,0,6,0,0,1.7,60355,0,356,0,0,1440,0,0,0,311,Burnley,,,,,2016,37,Y16W37
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.40740740740741e-07,2.77777777777778e-06,0,1415,0,5,0,0,0,0,0,2.8,0,-1,0,15,1,0,0,0,0,0,0,0,0,0.0,1183,0,270,0,0,384,0,0,0,63,Southampton,,,,,2016,37,Y16W37
Benik,Afobe,FWD,BOU,5300000,1,88,2.8,5.283018867924531e-07,1.66037735849057e-05,0,198000,1,24,0,0,0,6,0,16.6,0,-7,0,88,7,0,1,0,9,0,5,0,5,1.2,217579,0,146,0,1,1458,0,0,0,259,Leicester,,,,,2016,37,Y16W37
Sergio,Aguero,FWD,MCI,12700000,16,175,5.6,4.40944881889764e-07,1.3779527559055099e-05,0,3691225,4,30,0,0,0,20,0,13.8,0,-3,0,175,3,0,1,0,32,0,8,0,5,17.6,2641949,0,789,0,6,2404,0,0,1,640,Watford,,,,,2016,37,Y16W37
Daniel,Agyei,FWD,BUR,4500000,0,3,0.027027027027027,6.006006006006013e-09,6.66666666666667e-07,0,472,0,0,0,0,0,0,0,0.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,848,0,0,0,0,25,0,0,0,6,West Ham,,,,,2016,37,Y16W37
Ola,Aina,DEF,CHE,4500000,0,3,0.027027027027027,6.006006006006013e-09,6.66666666666667e-07,0,4846,0,0,0,0,0,0,0,0.7,0,-5,0,3,5,0,0,0,0,0,0,0,0,0.1,707,0,0,0,0,26,0,0,0,9,Sunderland,,,,,2016,37,Y16W37
Nathan,Ake,DEF,CHE,3900000,0,55,0.495495495495495,1.2705012705012699e-07,1.4102564102564097e-05,0,504357,1,20,0,0,0,3,0,14.1,0,-6,0,55,6,0,0,0,8,0,3,0,1,6.1,662287,0,232,0,2,834,0,0,0,267,Sunderland,,,,,2016,37,Y16W37
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8991,0,0,0,0,0,0,0,0.0,0,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1395,0,0,0,0,0,0,0,0,0,Everton,,,,,2016,37,Y16W37
Marc,Albrighton,MID,LEI,5000000,2,95,2.9,5.8e-07,1.9e-05,0,98080,5,47,0,0,0,2,0,19.0,0,-5,0,95,5,0,0,0,3,0,8,0,6,2.5,131785,0,519,0,0,2412,0,0,0,468,Bournemouth,,,,,2016,37,Y16W37
Toby,Alderweireld,DEF,TOT,6400000,8,120,4.0,6.25e-07,1.875e-05,0,658121,1,17,0,0,0,1,0,18.8,0,-1,0,120,1,0,0,0,4,0,14,0,0,9.6,160957,0,598,0,0,2601,0,0,0,611,Hull City,,,,,2016,37,Y16W37
Trent,Alexander-Arnold,MID,LIV,4300000,0,8,0.0720720720720721,1.67609469935051e-08,1.86046511627907e-06,0,1947,0,2,0,0,0,0,0,1.9,0,-2,0,8,2,0,0,0,0,0,0,0,0,0.0,1988,0,0,0,0,167,0,0,0,32,Middlesbrough,,,,,2016,37,Y16W37
Joe,Allen,MID,STK,4900000,2,118,3.3,6.73469387755102e-07,2.40816326530612e-05,0,1158239,9,49,0,0,0,6,0,24.1,0,-1,0,118,1,0,0,0,10,0,10,0,3,6.4,1309096,0,132,0,1,2930,0,0,0,525,Southampton,,,,,2016,37,Y16W37
Bamidele,Alli,MID,TOT,9100000,11,225,6.1,6.7032967032967e-07,2.47252747252747e-05,0,1086898,4,22,0,0,0,18,0,24.7,0,6,0,225,-6,0,0,0,17,0,17,0,11,32.3,1996300,0,666,0,4,3036,0,0,0,679,Hull City,,,,,2016,37,Y16W37
Ryan,Allsop,GLK,BOU,4000000,3,3,0.027027027027027,6.75675675675676e-09,7.5e-07,0,1668,0,1,0,4,0,0,0,0.8,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,3634,0,0,0,0,90,0,0,0,17,Leicester,,,,,2016,37,Y16W37
Marcos,Alonso,DEF,CHE,6900000,2,177,5.7,8.260869565217391e-07,2.56521739130435e-05,0,401236,2,19,0,0,0,6,0,25.7,0,9,0,177,-9,0,0,0,11,0,15,0,5,16.0,1016747,0,0,0,3,2693,0,0,0,675,Sunderland,,,,,2016,37,Y16W37
Daniel,Amartey,MID,LEI,4300000,1,53,2.2,5.11627906976744e-07,1.23255813953488e-05,0,27227,3,35,0,0,0,1,0,12.3,0,-2,0,53,2,0,0,0,3,0,4,0,1,0.2,28208,0,23,0,1,1673,0,0,0,262,Bournemouth,,,,,2016,37,Y16W37
Jordi,Amat,DEF,SWA,3800000,0,21,1.2,3.15789473684211e-07,5.52631578947368e-06,0,513326,5,36,0,0,0,0,0,5.5,0,-2,0,21,2,0,0,0,0,0,2,0,0,7.4,439690,0,63,0,0,1409,0,0,0,237,West Brom,,,,,2016,37,Y16W37
Nordin,Amrabat,MID,WAT,5000000,1,65,2.2,4.4e-07,1.3e-05,0,17333,4,51,0,0,0,0,0,13.0,0,0,0,65,0,0,0,0,5,0,4,0,3,0.1,16321,0,74,0,0,2091,0,0,0,263,Man City,,,,,2016,37,Y16W37
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2564,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1858,0,0,0,0,0,0,0,0,0,Man Utd,,,,,2016,37,Y16W37
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2844,0,0,0,0,0,0,0,0.0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,987,0,0,0,0,0,0,0,0,0,Watford,,,,,2016,37,Y16W37
Victor,Anichebe,FWD,SUN,4300000,0,48,0.432432432432432,1.0056568196103099e-07,1.11627906976744e-05,0,338402,2,21,0,0,0,3,0,11.2,0,-2,0,48,2,0,0,0,5,0,3,0,1,2.2,414309,0,0,0,1,1219,0,0,0,166,Chelsea,,,,,2016,37,Y16W37
Michail,Antonio,MID,WHU,6700000,0,132,4.6,6.86567164179104e-07,1.97014925373134e-05,0,1375903,4,43,0,0,0,9,0,19.7,0,-3,0,132,3,0,0,0,8,0,7,0,8,5.3,1367226,0,452,0,3,2433,0,0,1,410,Burnley,,,,,2016,37,Y16W37
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6143,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,398,0,176,0,0,10,0,0,0,3,Man City,,,,,2016,37,Y16W37
