FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,1378,0,0,0,0,0,0,0,0.0,1378,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,290,0,0,0,0,0,290,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,2017,1,Y17W1
Tammy,Abraham,FWD,SWA,5500000,2,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,13624,0,0,0,0,0,0,0,0.4,13624,0,0,2,0,0.4,0,2,0,0,1,0,0,2.6,5050,0,0,0,0,80,5050,0,0,6,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,3.5,2017,1,Y17W1
Charlie,Adam,MID,STK,5000000,0,0,0.0,0.0,0.0,0,961,0,0,0,0,0,0,0,0.0,961,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,140,0,0,0,0,0,140,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,2017,1,Y17W1
,Adam Smith,DEF,BOU,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,5129,0,0,0,0,0,0,0,0.2,5129,0,0,1,0,0.2,0,1,0,0,0,0,0,1.1,403,0,0,0,0,10,403,0,0,2,Watford,Man City,Arsenal,Brighton,Everton,0.3,2017,1,Y17W1
,Adrian,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,2233,0,0,0,0,0,0,0,0.0,2233,0,0,0,0,0.0,0,0,0,0,0,0,0,0.6,218,0,0,0,0,0,218,0,0,0,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.0,2017,1,Y17W1
Ibrahim,Afellay,MID,STK,5000000,0,0,0.0,0.0,0.0,0,164,0,0,0,0,0,0,0,0.0,164,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0,39,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,2017,1,Y17W1
Benik,Afobe,FWD,BOU,6000000,2,2,2.0,3.333333333333331e-07,3.333333333333331e-07,0,5655,0,1,0,0,0,0,0,0.3,5655,0,0,2,0,0.3,0,2,0,0,0,0,0,0.6,974,0,0,0,0,63,974,0,0,7,Watford,Man City,Arsenal,Brighton,Everton,2.7,2017,1,Y17W1
Sergio,Aguero,FWD,MCI,11500000,9,9,9.0,7.826086956521741e-07,7.826086956521741e-07,0,24742,0,0,0,0,0,1,0,0.8,24742,0,0,9,0,0.8,0,9,3,0,1,0,0,12.1,39553,0,0,0,0,82,39553,0,0,33,Everton,Bournemouth,Liverpool,Watford,Crystal Palace,9.6,2017,1,Y17W1
Nathan,Ake,DEF,BOU,5000000,3,3,3.0,6e-07,6e-07,0,17114,0,1,0,0,0,0,0,0.6,17114,0,0,3,0,0.6,0,3,1,0,0,0,0,8.4,14319,0,0,0,0,90,14319,0,0,25,Watford,Man City,Arsenal,Brighton,Everton,4.1,2017,1,Y17W1
Marc,Albrighton,MID,LEI,5500000,5,5,5.0,9.09090909090909e-07,9.09090909090909e-07,0,7636,0,4,0,0,0,0,0,0.9,7636,0,0,5,0,0.9,0,5,0,0,0,0,1,3.2,68830,0,0,0,0,87,68830,0,0,20,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,5.3,2017,1,Y17W1
Toby,Alderweireld,DEF,TOT,6000000,7,7,7.0,1.16666666666667e-06,1.16666666666667e-06,0,19840,0,0,0,0,0,0,0,1.2,19840,0,0,7,0,1.2,0,7,1,0,1,0,0,15.8,36471,0,0,0,0,90,36471,0,0,30,Chelsea,Burnley,Everton,Swansea,West Ham,4.1,2017,1,Y17W1
Trent,Alexander-Arnold,DEF,LIV,4500000,0,0,0.0,0.0,0.0,0,9481,1,2,0,0,0,0,0,0.0,9481,0,0,0,0,0.0,0,0,0,0,0,0,0,3.3,34313,0,0,0,0,90,34313,0,0,9,Crystal Palace,Arsenal,Man City,Burnley,Leicester,5.2,2017,1,Y17W1
Joe,Allen,MID,STK,5500000,1,1,1.0,1.81818181818182e-07,1.81818181818182e-07,0,21318,1,1,0,0,0,0,0,0.2,21318,0,0,1,0,0.2,0,1,0,0,0,0,0,4.1,1549,0,0,0,0,90,1549,0,0,9,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,3.3,2017,1,Y17W1
Bamidele,Alli,MID,TOT,9500000,8,8,8.0,8.42105263157895e-07,8.42105263157895e-07,0,37214,0,0,0,0,0,1,0,0.8,37214,0,0,8,0,0.8,0,8,0,0,1,0,0,37.4,52703,0,0,0,0,81,52703,0,0,25,Chelsea,Burnley,Everton,Swansea,West Ham,9.0,2017,1,Y17W1
Marcos,Alonso,DEF,CHE,7000000,0,0,0.0,0.0,0.0,0,71736,1,3,0,0,0,0,0,0.0,71736,0,0,0,0,0.0,0,0,0,0,0,0,0,11.7,7160,0,0,0,0,90,7160,0,0,12,Tottenham,Everton,Leicester,Arsenal,Stoke,12.1,2017,1,Y17W1
Daniel,Amartey,MID,LEI,4500000,1,1,0.33333333333333304,7.40740740740741e-08,2.22222222222222e-07,0,1242,0,2,0,0,0,0,0,0.2,1242,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,720,0,0,0,0,18,720,0,0,2,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,0.6,2017,1,Y17W1
Nordin,Amrabat,MID,WAT,5000000,2,2,2.0,4e-07,4e-07,0,641,0,3,0,0,0,0,0,0.4,641,0,0,2,0,0.4,0,2,0,0,0,0,0,0.1,1337,0,0,0,0,90,1337,0,0,-2,Bournemouth,Brighton,Southampton,Man City,Swansea,2.6,2017,1,Y17W1
Michail,Antonio,MID,WHU,7500000,0,0,0.0,0.0,0.0,0,880,0,0,0,0,0,0,0,0.0,880,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,1391,0,0,0,0,0,1391,0,0,0,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.0,2017,1,Y17W1
Scott,Arfield,MID,BUR,5000000,0,0,0.0,0.0,0.0,0,376,1,1,0,0,0,0,0,0.0,376,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,74,0,0,0,0,15,74,0,0,-1,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,0.1,2017,1,Y17W1
Marko,Arnautovic,MID,WHU,7000000,2,2,2.0,2.85714285714286e-07,2.85714285714286e-07,0,8734,0,4,0,0,0,0,0,0.3,8734,0,0,2,0,0.3,0,2,0,0,0,0,0,2.3,20444,0,0,0,0,90,20444,0,0,8,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,4.2,2017,1,Y17W1
Harry,Arter,MID,BOU,5000000,1,1,1.0,2e-07,2e-07,0,2910,1,1,0,0,0,0,0,0.2,2910,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,1057,0,0,0,0,90,1057,0,0,13,Watford,Man City,Arsenal,Brighton,Everton,2.6,2017,1,Y17W1
Christian,Atsu,MID,NEW,5000000,2,2,2.0,4e-07,4e-07,0,9659,0,2,0,0,0,0,0,0.4,9659,0,0,2,0,0.4,0,2,0,0,0,0,0,3.0,25789,0,0,0,0,90,25789,0,0,-4,Huddersfield,West Ham,Swansea,Stoke,Brighton,4.1,2017,1,Y17W1
Charlie,Austin,FWD,SOU,6400000,1,1,1.0,1.5625e-07,1.5625e-07,0,15408,0,0,0,0,0,0,0,0.2,15408,-1,1,1,1,0.2,0,1,0,0,0,0,0,1.0,871,0,0,0,0,21,871,-1,0,2,West Ham,Huddersfield,Watford,Crystal Palace,Man Utd,0.7,2017,1,Y17W1
Andre,Ayew,MID,WHU,7000000,2,2,2.0,2.85714285714286e-07,2.85714285714286e-07,0,8688,0,4,0,0,0,0,0,0.3,8688,0,0,2,0,0.3,0,2,0,0,0,0,0,2.0,2285,0,0,0,0,90,2285,0,0,7,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,1.0,2017,1,Y17W1
Jordan,Ayew,FWD,SWA,5000000,2,2,2.0,4e-07,4e-07,0,13109,0,0,0,0,0,0,0,0.4,13109,0,0,2,0,0.4,0,2,0,0,1,0,0,1.9,6678,0,0,0,0,90,6678,0,0,0,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,0.8,2017,1,Y17W1
Cesar,Azpilicueta,DEF,CHE,6500000,1,1,1.0,1.53846153846154e-07,1.53846153846154e-07,0,46276,0,3,0,0,0,0,0,0.2,46276,0,0,1,0,0.2,0,1,0,0,0,0,0,10.3,7262,0,0,0,0,90,7262,0,0,16,Tottenham,Everton,Leicester,Arsenal,Stoke,3.7,2017,1,Y17W1
Eric,Bailly,DEF,MUN,6000000,5,5,5.0,8.33333333333333e-07,8.33333333333333e-07,0,18599,1,0,0,0,0,0,0,0.8,18599,0,0,5,0,0.8,0,5,0,0,1,0,0,9.1,22851,0,0,0,0,90,22851,0,0,21,Swansea,Leicester,Stoke,Everton,Southampton,1.3,2017,1,Y17W1
Leighton,Baines,DEF,EVE,6000000,6,6,6.0,1e-06,1e-06,0,22154,0,0,0,0,0,0,0,1.0,22154,0,0,6,0,1.0,0,6,0,0,1,0,0,11.0,11868,0,0,0,0,90,11868,0,0,18,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,1.8,2017,1,Y17W1
Tiemoue,Bakayoko,MID,CHE,5000000,0,0,0.0,0.0,0.0,0,5012,0,0,0,0,0,0,0,0.0,5012,0,0,0,0,0.0,0,0,0,0,0,0,0,0.5,1155,0,0,0,0,0,1155,0,0,0,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,2017,1,Y17W1
Sam,Baldock,FWD,BHA,5000000,0,0,0.0,0.0,0.0,0,266,0,0,0,0,0,0,0,0.0,266,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,47,0,0,0,0,0,47,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,2017,1,Y17W1
