FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex
Tammy,Abraham,FWD,CHE,5500000,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0.2,257,0,0,0,0,0,257,0,0,0,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,0
,Adam Smith,DEF,BOU,4500000,6,6,6,1.33E-06,1.33E-06,0,877,0,0,0,0,0,0,0,1.3,877,0,0,6,0,1.3,0,6,0,0,1,0,0,0.6,2960,0,0,0,0,90,2960,0,0,25,West Ham,Everton,Chelsea,Leicester,Burnley,3.2
,Adrian,GLK,WHU,4500000,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0.6,146,0,0,0,0,0,146,0,0,0,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,0
Sergio,Aguero,FWD,MCI,11000000,2,2,2,1.82E-07,1.82E-07,0,19116,0,0,0,0,0,0,0,0.2,19116,0,0,2,0,0.2,0,2,0,0,1,0,0,32.1,41174,0,0,0,0,78,41174,0,0,4,Huddersfield,Wolverhampton,Newcastle,Fulham,Cardiff City,7.7
Nathan,Ake,DEF,BOU,5000000,8,8,8,1.60E-06,1.60E-06,0,3818,0,0,0,0,0,0,0,1.6,3818,0,0,8,0,1.6,0,8,2,0,1,0,0,3.9,11795,0,0,0,0,90,11795,0,0,33,West Ham,Everton,Chelsea,Leicester,Burnley,3.6
Marc,Albrighton,MID,LEI,5500000,0,0,0,0,0,0,6626,0,0,0,0,0,0,0,0,6626,0,0,0,0,0,0,0,0,0,0,0,0,1.1,158,0,0,0,0,0,158,0,0,0,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,0
Toby,Alderweireld,DEF,TOT,6000000,0,0,0,0,0,0,14532,0,0,0,0,0,0,0,0,14532,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1300,0,0,0,0,0,1300,0,0,0,Fulham,Man Utd,Watford,Liverpool,Brighton,0
Trent,Alexander-Arnold,DEF,LIV,5000000,5,5,5,1.00E-06,1.00E-06,0,16730,1,0,0,0,0,0,0,1,16730,0,0,5,0,1,0,5,0,0,1,0,0,17,23589,0,0,0,0,90,23589,0,0,22,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,4.2
,Alisson,GLK,LIV,5500000,7,7,7,1.27E-06,1.27E-06,0,9960,0,0,0,2,0,0,0,1.3,9960,0,0,7,0,1.3,0,7,1,0,1,0,0,14.3,13587,0,0,0,0,90,13587,0,0,31,Crystal Palace,Brighton,Leicester,Tottenham,Southampton,1.8
Bamidele,Alli,MID,TOT,9000000,9,9,9,1.00E-06,1.00E-06,0,5624,0,1,0,0,0,1,0,1,5624,0,0,9,0,1,0,9,2,0,0,0,0,4.9,32231,0,0,0,0,79,32231,0,0,34,Fulham,Man Utd,Watford,Liverpool,Brighton,12
Marcos,Alonso,DEF,CHE,6500000,11,11,11,1.69E-06,1.69E-06,0,8674,0,0,0,0,0,0,0,1.7,8674,0,0,11,0,1.7,0,11,2,0,1,0,1,17.4,41632,0,0,0,0,90,41632,0,0,32,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,5.1
Daniel,Amartey,MID,LEI,4500000,1,1,1,2.22E-07,2.22E-07,0,926,1,1,0,0,0,0,0,0.2,926,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,1291,0,0,0,0,62,1291,0,0,6,Wolverhampton,Southampton,Liverpool,Bournemouth,Huddersfield,1.4
Luke,Amos,MID,TOT,4500000,1,1,1,2.22E-07,2.22E-07,0,295,0,0,0,0,0,0,0,0.2,295,0,0,1,0,0.2,0,1,0,0,0,0,0,0,682,0,0,0,0,2,682,0,0,3,Fulham,Man Utd,Watford,Liverpool,Brighton,0.2
Ethan,Ampadu,MID,CHE,4500000,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0.1,72,0,0,0,0,0,72,0,0,0,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0.1,73,0,0,0,0,0,73,0,0,0,Man Utd,Liverpool,Fulham,Southampton,Tottenham,0
,Andre Gomes,MID,EVE,5500000,0,0,0,0,0,0,2264,0,0,0,0,0,0,0,0,2264,0,0,0,0,0,0,0,0,0,0,0,0,0.4,697,0,0,0,0,0,697,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0
Michail,Antonio,MID,WHU,7000000,1,1,1,1.43E-07,1.43E-07,0,3009,1,4,0,0,0,0,0,0.1,3009,0,0,1,0,0.1,0,1,0,0,0,0,0,1.7,567,0,0,0,0,90,567,0,0,5,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,5.7
Stuart,Armstrong,MID,SOU,5500000,1,1,1,1.82E-07,1.82E-07,0,1119,0,0,0,0,0,0,0,0.2,1119,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,107,0,0,0,0,55,107,0,0,5,Everton,Leicester,Crystal Palace,Brighton,Liverpool,4
Marko,Arnautovic,FWD,WHU,7000000,2,2,2,2.86E-07,2.86E-07,0,29491,0,3,0,0,0,0,0,0.3,29491,0,0,2,0,0.3,0,2,0,0,0,0,0,20.4,17947,0,0,0,0,66,17947,0,0,-1,Bournemouth,Arsenal,Wolverhampton,Everton,Chelsea,2.6
Harry,Arter,MID,CAR,5000000,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0.3,159,0,0,0,0,0,159,0,0,0,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,0
Christian,Atsu,MID,NEW,5500000,1,1,1,1.82E-07,1.82E-07,0,752,0,0,0,0,0,0,0,0.2,752,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,124,0,0,0,0,21,124,0,0,4,Cardiff City,Chelsea,Man City,Arsenal,Crystal Palace,2.1
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,2,2,2,1.82E-07,1.82E-07,0,34606,0,2,0,0,0,0,0,0.2,34606,0,0,2,0,0.2,0,2,0,0,0,0,0,19.4,9547,0,0,0,0,90,9547,0,0,5,Chelsea,West Ham,Cardiff City,Newcastle,Everton,1.4
Serge,Aurier,DEF,TOT,6000000,5,5,5,8.33E-07,8.33E-07,0,1444,0,1,0,0,0,0,0,0.8,1444,0,0,5,0,0.8,0,5,0,0,0,0,1,1.2,3180,0,0,0,0,90,3180,0,0,22,Fulham,Man Utd,Watford,Liverpool,Brighton,5.8
Charlie,Austin,FWD,SOU,6000000,2,2,2,3.33E-07,3.33E-07,0,3633,0,0,0,0,0,0,0,0.3,3633,0,0,2,0,0.3,0,2,0,0,1,0,0,1.8,1453,0,0,0,0,71,1453,0,0,5,Everton,Leicester,Crystal Palace,Brighton,Liverpool,3.5
Floyd,Ayite,MID,FUL,4500000,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0.2,100,0,0,0,0,0,100,0,0,0,Tottenham,Burnley,Brighton,Man City,Watford,0
Cesar,Azpilicueta,DEF,CHE,6500000,6,6,6,9.23E-07,9.23E-07,0,15885,0,0,0,0,0,0,0,0.9,15885,0,0,6,0,0.9,0,6,0,0,1,0,0,16,5136,0,0,0,0,90,5136,0,0,29,Arsenal,Newcastle,Bournemouth,Cardiff City,West Ham,3.3
